Label,URL,Status,Size_KB,Content_Type,JSON_Keys,Notes
gms.api.noc.athletes,https://gccgames.qa/api/method/gms.api.noc.athletes,417,,,,EXPECTATION FAILED
gms.api.noc.roster,https://gccgames.qa/api/method/gms.api.noc.roster,417,,,,EXPECTATION FAILED
gms.api.noc.medals,https://gccgames.qa/api/method/gms.api.noc.medals,417,,,,EXPECTATION FAILED
gms.api.discipline.disciplines,https://gccgames.qa/api/method/gms.api.discipline.disciplines,417,,,,EXPECTATION FAILED
gms.api.discipline.list,https://gccgames.qa/api/method/gms.api.discipline.list,417,,,,EXPECTATION FAILED
gms.api.discipline.events,https://gccgames.qa/api/method/gms.api.discipline.events,417,,,,EXPECTATION FAILED
gms.api.discipline.by_sport,https://gccgames.qa/api/method/gms.api.discipline.by_sport,417,,,,EXPECTATION FAILED
gms.api.venue.venues,https://gccgames.qa/api/method/gms.api.venue.venues,417,,,,EXPECTATION FAILED
gms.api.venue.venue,https://gccgames.qa/api/method/gms.api.venue.venue,417,,,,EXPECTATION FAILED
gms.api.venue.detail,https://gccgames.qa/api/method/gms.api.venue.detail,417,,,,EXPECTATION FAILED
gms.api.venue.list,https://gccgames.qa/api/method/gms.api.venue.list,417,,,,EXPECTATION FAILED
gms.api.country.countries,https://gccgames.qa/api/method/gms.api.country.countries,417,,,,EXPECTATION FAILED
gms.api.country.country,https://gccgames.qa/api/method/gms.api.country.country,417,,,,EXPECTATION FAILED
gms.api.country.athletes,https://gccgames.qa/api/method/gms.api.country.athletes,417,,,,EXPECTATION FAILED
gms.api.country.results,https://gccgames.qa/api/method/gms.api.country.results,417,,,,EXPECTATION FAILED
gms.api.event.events,https://gccgames.qa/api/method/gms.api.event.events,417,,,,EXPECTATION FAILED
gms.api.event.event,https://gccgames.qa/api/method/gms.api.event.event,417,,,,EXPECTATION FAILED
gms.api.event.detail,https://gccgames.qa/api/method/gms.api.event.detail,417,,,,EXPECTATION FAILED
gms.api.event.get,https://gccgames.qa/api/method/gms.api.event.get,417,,,,EXPECTATION FAILED
gms.api.event.list,https://gccgames.qa/api/method/gms.api.event.list,417,,,,EXPECTATION FAILED
gms.api.match.matches,https://gccgames.qa/api/method/gms.api.match.matches,417,,,,EXPECTATION FAILED
gms.api.match.match,https://gccgames.qa/api/method/gms.api.match.match,417,,,,EXPECTATION FAILED
gms.api.match.detail,https://gccgames.qa/api/method/gms.api.match.detail,417,,,,EXPECTATION FAILED
gms.api.match.get,https://gccgames.qa/api/method/gms.api.match.get,417,,,,EXPECTATION FAILED
gms.api.schedule.schedule,https://gccgames.qa/api/method/gms.api.schedule.schedule,417,,,,EXPECTATION FAILED
gms.api.schedule.all,https://gccgames.qa/api/method/gms.api.schedule.all,417,,,,EXPECTATION FAILED
gms.api.schedule.by_date,https://gccgames.qa/api/method/gms.api.schedule.by_date,417,,,,EXPECTATION FAILED
gms.api.media.photos,https://gccgames.qa/api/method/gms.api.media.photos,417,,,,EXPECTATION FAILED
