Type,Event_ID,Sport,Before,After
+ added,COM-2026-0712,Table Tennis,,10:00
+ added,COM-2026-0713,Bowling,,16:00
- dropped,COM-2026-0427,Bowling,12:00:00,
- dropped,COM-2026-0428,Bowling,16:00:00,
- dropped,COM-2026-0429,Bowling,10:00:00,
- dropped,COM-2026-0430,Bowling,16:00:00,
- dropped,COM-2026-0431,Bowling,16:00:00,
- dropped,COM-2026-0432,Bowling,16:00:00,
- dropped,COM-2026-0433,Bowling,10:00:00,
- dropped,COM-2026-0434,Bowling,15:30:00,
- dropped,COM-2026-0435,Bowling,18:30:00,
- dropped,COM-2026-0436,Bowling,19:00:00,
- dropped,COM-2026-0650,Fencing,15:40:00,
~ time,COM-2026-0494,Swimming,17:48:00,17:00
~ time,COM-2026-0495,Swimming,17:12:00,17:00
~ time,COM-2026-0496,Swimming,17:36:00,17:00
~ time,COM-2026-0498,Swimming,17:24:00,17:00
~ time,COM-2026-0499,Swimming,17:24:00,17:00
~ time,COM-2026-0500,Swimming,17:48:00,17:00
~ time,COM-2026-0502,Swimming,17:12:00,17:00
~ time,COM-2026-0503,Swimming,17:36:00,17:00
~ time,COM-2026-0504,Swimming,17:24:00,17:00
~ time,COM-2026-0506,Swimming,17:12:00,17:00
~ time,COM-2026-0507,Swimming,17:36:00,17:00
~ time,COM-2026-0508,Swimming,18:00:00,17:00
~ time,COM-2026-0509,Swimming,17:48:00,17:00
~ time,COM-2026-0510,Swimming,17:12:00,17:00
~ time,COM-2026-0511,Swimming,17:48:00,17:00
~ time,COM-2026-0513,Swimming,17:24:00,17:00
~ time,COM-2026-0514,Swimming,17:36:00,17:00
~ phase,COM-2026-0494,Swimming,Heats,Event 1
~ phase,COM-2026-0495,Swimming,Heats,Event 2
~ phase,COM-2026-0496,Swimming,Heats,Event 3
~ phase,COM-2026-0497,Swimming,Heats,Event 4
~ phase,COM-2026-0498,Swimming,Heats,Event 5
~ phase,COM-2026-0499,Swimming,Heats,Event 6
~ phase,COM-2026-0500,Swimming,Heats,Event 7
~ phase,COM-2026-0501,Swimming,Heats,Event 8
~ phase,COM-2026-0502,Swimming,Heats,Event 9
~ phase,COM-2026-0503,Swimming,Heats,Event 10
~ phase,COM-2026-0504,Swimming,Heats,Event 11
~ phase,COM-2026-0505,Swimming,Heats,Event 12
~ phase,COM-2026-0506,Swimming,Heats,Event 13
~ phase,COM-2026-0507,Swimming,Heats,Event 14
~ phase,COM-2026-0508,Swimming,Heats,Event 14
~ phase,COM-2026-0509,Swimming,Heats,Event 15
~ phase,COM-2026-0510,Swimming,Heats,Event 16
~ phase,COM-2026-0511,Swimming,Heats,Event 17
~ phase,COM-2026-0512,Swimming,Heats,Event 18
~ phase,COM-2026-0513,Swimming,Heats,Event 19
~ phase,COM-2026-0514,Swimming,Heats,Event 20
~ status,COM-2026-0319,Table Tennis,Scheduled,Official
~ status,COM-2026-0554,Table Tennis,Scheduled,Official
~ status,COM-2026-0555,Table Tennis,Scheduled,Official
~ status,COM-2026-0556,Table Tennis,Scheduled,Official
~ status,COM-2026-0557,Table Tennis,Scheduled,Official
