Date,Time,Time_End,Duration_Min,Sport,Discipline,Discipline_AR,Phase,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-14,17:30:00,19:30:00,120,Athletics,Men’s High Jump,الوثب العالي رجال,Final,Men,Qatar Sports Club,,COM-2026-0029,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:35:00,19:35:00,120,Athletics,Women’s 100 Metres,100 متر سيدات,Qualification,Women,Qatar Sports Club,,COM-2026-0030,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:50:00,19:50:00,120,Athletics,Men’s 400 Metres,400 متر رجال,Qualification,Men,Qatar Sports Club,,COM-2026-0031,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:00:00,19:30:00,90,Athletics,Men’s Shot Put,دفع الجلة رجال,Final,Men,Qatar Sports Club,,COM-2026-0032,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:10:00,20:10:00,120,Athletics,Women’s 400 Metres,400 متر سيدات,Qualification,Women,Qatar Sports Club,,COM-2026-0033,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:30:00,20:06:00,96,Athletics,Men’s 800 Metres,800 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0034,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:40:00,20:16:00,96,Athletics,Women’s 800 Metres,800 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0035,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:45:00,00:45:00,360,Athletics,Women’s Heptathlon,سباعي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0036,https://gccgames.qa/frontend/schedule-competition
2026-05-14,19:00:00,19:20:00,20,Athletics,Men’s 3000m Steeplechase,3000 متر موانع رجال,Final,Men,Qatar Sports Club,,COM-2026-0037,https://gccgames.qa/frontend/schedule-competition
2026-05-14,19:30:00,20:10:00,40,Athletics,Women’s 10000 Metres,10000 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0038,https://gccgames.qa/frontend/schedule-competition
2026-05-14,20:05:00,21:41:00,96,Athletics,Men’s 100 Metres,100 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0039,https://gccgames.qa/frontend/schedule-competition
2026-05-14,20:15:00,21:51:00,96,Athletics,Women’s 100 Metres,100 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0040,https://gccgames.qa/frontend/schedule-competition
2026-05-15,9:00:00,15:00:00,360,Athletics,Women’s Heptathlon,سباعي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0041,https://gccgames.qa/frontend/schedule-competition
2026-05-15,10:00:00,16:00:00,360,Athletics,Women’s Heptathlon,سباعي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0042,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:00:00,20:00:00,180,Athletics,Women’s Pole Vault,القفز بالزانة سيدات,Final,Women,Qatar Sports Club,,COM-2026-0043,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:05:00,18:45:00,100,Athletics,Women’s Hammer Throw,إطاحة المطرقة سيدات,Final,Women,Qatar Sports Club,,COM-2026-0044,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:10:00,19:10:00,120,Athletics,Men’s 110 Metres Hurdles,110 متر حواجز رجال,Qualification,Men,Qatar Sports Club,,COM-2026-0045,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:15:00,18:45:00,90,Athletics,Men’s Long Jump,الوثب الطويل رجال,Final,Men,Qatar Sports Club,,COM-2026-0046,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:25:00,19:25:00,120,Athletics,Men’s 400 Metres Hurdles,400 متر حواجز رجال,Qualification,Men,Qatar Sports Club,,COM-2026-0047,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:40:00,19:40:00,120,Athletics,Women’s 400 Metres Hurdles,400 متر حواجز سيدات,Qualification,Women,Qatar Sports Club,,COM-2026-0048,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:55:00,19:31:00,96,Athletics,Men’s 400 Metres,400 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0049,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:10:00,19:46:00,96,Athletics,Women’s 400 Metres,400 متر سيدات,Final,Women,Qatar Sports Club,,COM-2026-0050,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:15:00,19:45:00,90,Athletics,Men’s Javelin Throw,رمي الرمح رجال,Final,Men,Qatar Sports Club,,COM-2026-0051,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:20:00,19:56:00,96,Athletics,Men’s 110 Metres Hurdles,110 متر حواجز رجال,Final,Men,Qatar Sports Club,,COM-2026-0052,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:25:00,00:25:00,360,Athletics,Women’s Heptathlon,سباعي سيدات,Final,Women,Qatar Sports Club,,COM-2026-0053,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:40:00,19:20:00,40,Athletics,Men’s 10000 Metres,10000 متر رجال,Final,Men,Qatar Sports Club,,COM-2026-0054,https://gccgames.qa/frontend/schedule-competition
2026-05-15,19:25:00,20:05:00,40,Athletics,Men’s 4x100 Metres Relay,4×100 متر تتابع رجال,Final,Men,Qatar Sports Club,,COM-2026-0055,https://gccgames.qa/frontend/schedule-competition
