Date,Time,Sport,Discipline,Discipline_AR,Phase,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-14,15:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0221,https://gccgames.qa/frontend/schedule-competition
2026-05-14,15:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0222,https://gccgames.qa/frontend/schedule-competition
2026-05-14,15:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0223,https://gccgames.qa/frontend/schedule-competition
2026-05-14,16:30:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0224,https://gccgames.qa/frontend/schedule-competition
2026-05-14,16:30:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0225,https://gccgames.qa/frontend/schedule-competition
2026-05-14,16:30:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0226,https://gccgames.qa/frontend/schedule-competition
2026-05-14,16:30:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0227,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0228,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0229,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0230,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0231,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0232,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0233,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0234,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0235,https://gccgames.qa/frontend/schedule-competition
2026-05-15,14:30:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0236,https://gccgames.qa/frontend/schedule-competition
2026-05-15,14:30:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0237,https://gccgames.qa/frontend/schedule-competition
2026-05-15,16:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Semi Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0238,https://gccgames.qa/frontend/schedule-competition
2026-05-15,16:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Semi Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0239,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:00:00,Billiards,Men’s 9-Ball Singles,9 كرات فردي رجال,Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0240,https://gccgames.qa/frontend/schedule-competition
2026-05-12,12:00:00,Bowling,Men’s Singles – Group A,فردي رجال - المجموعة أ,Group A,Men,Qatar Bowling Federation Hall,,COM-2026-0425,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:00:00,Bowling,Men’s Singles – Group B,فردي رجال - المجموعة ب,Group B,Men,Qatar Bowling Federation Hall,,COM-2026-0426,https://gccgames.qa/frontend/schedule-competition
2026-05-13,12:00:00,Bowling,Men’s Doubles – Group A,زوجي رجال - المجموعة أ,Group A,Men,Qatar Bowling Federation Hall,,COM-2026-0427,https://gccgames.qa/frontend/schedule-competition
2026-05-13,16:00:00,Bowling,Men’s Doubles – Group B,زوجي رجال - المجموعة ب,Group B,Men,Qatar Bowling Federation Hall,,COM-2026-0428,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:00:00,Bowling,Men’s Trios – Preliminary,ثلاثي رجال - تمهيدي,Preliminary,Men,Qatar Bowling Federation Hall,,COM-2026-0429,https://gccgames.qa/frontend/schedule-competition
2026-05-14,16:00:00,Bowling,Men’s Trios Final,نهائي ثلاثي رجال,Final,Men,Qatar Bowling Federation Hall,,COM-2026-0430,https://gccgames.qa/frontend/schedule-competition
2026-05-15,16:00:00,Bowling,Men’s Team – Preliminary,فرق رجال - تمهيدي,Preliminary,Men,Qatar Bowling Federation Hall,,COM-2026-0431,https://gccgames.qa/frontend/schedule-competition
2026-05-16,16:00:00,Bowling,Men’s Team Final,نهائي فرق رجال,Final,Men,Qatar Bowling Federation Hall,,COM-2026-0432,https://gccgames.qa/frontend/schedule-competition
2026-05-17,10:00:00,Bowling,Men’s Masters – Preliminary,أساتذة رجال - تمهيدي,Preliminary,Men,Qatar Bowling Federation Hall,,COM-2026-0433,https://gccgames.qa/frontend/schedule-competition
2026-05-17,15:30:00,Bowling,Men’s Masters – Preliminary,أساتذة رجال - تمهيدي,Preliminary,Men,Qatar Bowling Federation Hall,,COM-2026-0434,https://gccgames.qa/frontend/schedule-competition
2026-05-17,18:30:00,Bowling,Men’s Masters – Semi Final,أساتذة رجال - نصف نهائي,Semi Final,Men,Qatar Bowling Federation Hall,,COM-2026-0435,https://gccgames.qa/frontend/schedule-competition
2026-05-17,19:00:00,Bowling,Men’s Masters Final,نهائي الأساتذة رجال,Final,Men,Qatar Bowling Federation Hall,,COM-2026-0436,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:00:00,Boxing,Men’s 55 kg,55 كجم رجال,Semi Final,Men,Aspire Dome,,COM-2026-0154,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:15:00,Boxing,Men’s 55 kg,55 كجم رجال,Semi Final,Men,Aspire Dome,,COM-2026-0155,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:30:00,Boxing,Men’s 60 kg,60 كجم رجال,Semi Final,Men,Aspire Dome,,COM-2026-0156,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:45:00,Boxing,Men’s 60 kg,60 كجم رجال,Semi Final,Men,Aspire Dome,,COM-2026-0157,https://gccgames.qa/frontend/schedule-competition
2026-05-13,18:00:00,Boxing,Men’s 75 kg,75 كجم رجال,Semi Final,Men,Aspire Dome,,COM-2026-0158,https://gccgames.qa/frontend/schedule-competition
2026-05-13,18:15:00,Boxing,Men’s 75 kg,75 كجم رجال,Semi Final,Men,Aspire Dome,,COM-2026-0159,https://gccgames.qa/frontend/schedule-competition
2026-05-13,18:30:00,Boxing,Men’s 80 kg,80 كجم رجال,Semi Final,Men,Aspire Dome,,COM-2026-0160,https://gccgames.qa/frontend/schedule-competition
2026-05-13,18:45:00,Boxing,Men’s 80 kg,80 كجم رجال,Semi Final,Men,Aspire Dome,,COM-2026-0161,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:00:00,Boxing,Men’s 55 kg,55 كجم رجال,Final,Men,Aspire Dome,,COM-2026-0162,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:15:00,Boxing,Men’s 60 kg,60 كجم رجال,Final,Men,Aspire Dome,,COM-2026-0163,https://gccgames.qa/frontend/schedule-competition
2026-05-14,17:45:00,Boxing,Men’s 75 kg,75 كجم رجال,Final,Men,Aspire Dome,,COM-2026-0164,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:00:00,Boxing,Men’s 80 kg,80 كجم رجال,Final,Men,Aspire Dome,,COM-2026-0165,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:00:00,Equestrian,Team Show Jumping,قفز الحواجز فرق,Qualification,Mixed,Qatar Equestrian Federation Grounds,,COM-2026-0088,https://gccgames.qa/frontend/schedule-competition
2026-05-13,19:00:00,Equestrian,Team Show Jumping,قفز الحواجز فرق,Semi Final,Mixed,Qatar Equestrian Federation Grounds,,COM-2026-0089,https://gccgames.qa/frontend/schedule-competition
2026-05-13,20:15:00,Equestrian,Team Show Jumping,قفز الحواجز فرق,Final,Mixed,Qatar Equestrian Federation Grounds,,COM-2026-0090,https://gccgames.qa/frontend/schedule-competition
2026-05-15,17:00:00,Equestrian,Individual Show Jumping,قفز الحواجز فردي,Qualification,Mixed,Qatar Equestrian Federation Grounds,,COM-2026-0091,https://gccgames.qa/frontend/schedule-competition
2026-05-15,19:00:00,Equestrian,Individual Show Jumping,قفز الحواجز فردي,Semi Final,Mixed,Qatar Equestrian Federation Grounds,,COM-2026-0092,https://gccgames.qa/frontend/schedule-competition
2026-05-15,20:15:00,Equestrian,Individual Show Jumping,قفز الحواجز فردي,Final,Mixed,Qatar Equestrian Federation Grounds,,COM-2026-0093,https://gccgames.qa/frontend/schedule-competition
2026-05-13,9:00:00,Fencing,Women’s Épée Individual – Group Stage,إيبيه فردي سيدات - دور المجموعات,Group Stage,Women,Aspire Dome,,COM-2026-0405,https://gccgames.qa/frontend/schedule-competition
2026-05-13,10:40:00,Fencing,Women’s Épée Individual – Knockout,إيبيه فردي سيدات - خروج المغلوب,Knockout,Women,Aspire Dome,,COM-2026-0406,https://gccgames.qa/frontend/schedule-competition
2026-05-13,13:45:00,Fencing,Men’s Foil Individual – Group Stage,فلوريه فردي رجال - دور المجموعات,Group Stage,Men,Aspire Dome,,COM-2026-0407,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:40:00,Fencing,Men’s Foil Individual – Knockout,فلوريه فردي رجال - خروج المغلوب,Knockout,Men,Aspire Dome,,COM-2026-0408,https://gccgames.qa/frontend/schedule-competition
2026-05-13,18:10:00,Fencing,Women’s Épée Individual Final,نهائي إيبيه فردي سيدات,Final,Women,Aspire Dome,,COM-2026-0409,https://gccgames.qa/frontend/schedule-competition
2026-05-13,18:40:00,Fencing,Men’s Foil Individual Final,نهائي فلوريه فردي رجال,Final,Men,Aspire Dome,,COM-2026-0410,https://gccgames.qa/frontend/schedule-competition
2026-05-14,9:00:00,Fencing,Men’s Épée Individual – Group Stage,إيبيه فردي رجال - دور المجموعات,Group Stage,Men,Aspire Dome,,COM-2026-0411,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:40:00,Fencing,Men’s Épée Individual – Knockout,إيبيه فردي رجال - خروج المغلوب,Knockout,Men,Aspire Dome,,COM-2026-0412,https://gccgames.qa/frontend/schedule-competition
2026-05-14,13:45:00,Fencing,Women’s Foil Individual – Group Stage,فلوريه فردي سيدات - دور المجموعات,Group Stage,Women,Aspire Dome,,COM-2026-0413,https://gccgames.qa/frontend/schedule-competition
2026-05-14,15:40:00,Fencing,Women’s Foil Individual – Knockout,فلوريه فردي سيدات - خروج المغلوب,Knockout,Women,Aspire Dome,,COM-2026-0414,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:10:00,Fencing,Men’s Épée Individual Final,نهائي إيبيه فردي رجال,Final,Men,Aspire Dome,,COM-2026-0415,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:40:00,Fencing,Women’s Foil Individual Final,نهائي فلوريه فردي سيدات,Final,Women,Aspire Dome,,COM-2026-0416,https://gccgames.qa/frontend/schedule-competition
2026-05-15,9:00:00,Fencing,Women’s Épée Team – Knockout,إيبيه فرق سيدات - خروج المغلوب,Knockout,Women,Aspire Dome,,COM-2026-0417,https://gccgames.qa/frontend/schedule-competition
2026-05-15,9:00:00,Fencing,Men’s Foil Team – Knockout,فلوريه فرق رجال - خروج المغلوب,Knockout,Men,Aspire Dome,,COM-2026-0418,https://gccgames.qa/frontend/schedule-competition
2026-05-15,11:40:00,Fencing,Women’s Épée Team Final,نهائي إيبيه فرق سيدات,Final,Women,Aspire Dome,,COM-2026-0421,https://gccgames.qa/frontend/schedule-competition
2026-05-15,12:50:00,Fencing,Men’s Épée Team – Knockout,إيبيه فرق رجال - خروج المغلوب,Knockout,Men,Aspire Dome,,COM-2026-0419,https://gccgames.qa/frontend/schedule-competition
2026-05-15,12:50:00,Fencing,Women’s Foil Team – Knockout,فلوريه فرق سيدات - خروج المغلوب,Knockout,Women,Aspire Dome,,COM-2026-0420,https://gccgames.qa/frontend/schedule-competition
2026-05-15,15:30:00,Fencing,Men’s Épée Team Final,نهائي إيبيه فرق رجال,Final,Men,Aspire Dome,,COM-2026-0422,https://gccgames.qa/frontend/schedule-competition
2026-05-15,15:30:00,Fencing,Women’s Foil Team Final,نهائي فلوريه فرق سيدات,Final,Women,Aspire Dome,,COM-2026-0423,https://gccgames.qa/frontend/schedule-competition
2026-05-15,16:40:00,Fencing,Men’s Foil Team Final,نهائي فلوريه فرق رجال,Final,Men,Aspire Dome,,COM-2026-0424,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:30:00,Handball,Men’s Preliminary,Match 1 - رجال تمهيدي - المباراة 1,Qualification,Men,Al Duhail Sports Hall,"QAT,UAE",COM-2026-0094,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:30:00,Handball,Men’s Preliminary,Match 2 - رجال تمهيدي - المباراة 2,Qualification,Men,Al Duhail Sports Hall,"BRN,KUW",COM-2026-0095,https://gccgames.qa/frontend/schedule-competition
2026-05-16,16:30:00,Handball,Men’s Preliminary,Match 3 - رجال تمهيدي - المباراة 3,Qualification,Men,Al Duhail Sports Hall,"KSA,UAE",COM-2026-0096,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:30:00,Handball,Men’s Preliminary,Match 4 - رجال تمهيدي - المباراة 4,Qualification,Men,Al Duhail Sports Hall,"KUW,QAT",COM-2026-0097,https://gccgames.qa/frontend/schedule-competition
2026-05-18,16:30:00,Handball,Men’s Preliminary,Match 5 - رجال تمهيدي - المباراة 5,Qualification,Men,Al Duhail Sports Hall,"KUW,UAE",COM-2026-0098,https://gccgames.qa/frontend/schedule-competition
2026-05-18,18:30:00,Handball,Men’s Preliminary,Match 6 - رجال تمهيدي - المباراة 6,Qualification,Men,Al Duhail Sports Hall,"BRN,KSA",COM-2026-0099,https://gccgames.qa/frontend/schedule-competition
2026-05-19,16:30:00,Handball,Men’s Preliminary,Match 7 - رجال تمهيدي - المباراة 7,Qualification,Men,Al Duhail Sports Hall,"KSA,KUW",COM-2026-0100,https://gccgames.qa/frontend/schedule-competition
2026-05-19,18:30:00,Handball,Men’s Preliminary,Match 8 - رجال تمهيدي - المباراة 8,Qualification,Men,Al Duhail Sports Hall,"BRN,QAT",COM-2026-0101,https://gccgames.qa/frontend/schedule-competition
2026-05-21,18:30:00,Handball,Men’s Preliminary,Match 9 - رجال تمهيدي - المباراة 9,Qualification,Men,Al Duhail Sports Hall,"BRN,UAE",COM-2026-0102,https://gccgames.qa/frontend/schedule-competition
2026-05-22,18:30:00,Handball,Men’s Preliminary,Match 10 - رجال تمهيدي - المباراة 10,Qualification,Men,Al Duhail Sports Hall,"KSA,QAT",COM-2026-0103,https://gccgames.qa/frontend/schedule-competition
2026-05-21,11:00:00,Karate,Men’s Kumite -60 kg,كوميتيه رجال -60 كجم,Qualification,Men,Aspire Dome,,COM-2026-0144,https://gccgames.qa/frontend/schedule-competition
2026-05-21,11:40:00,Karate,Men’s Kumite -67 kg,كوميتيه رجال -67 كجم,Qualification,Men,Aspire Dome,,COM-2026-0145,https://gccgames.qa/frontend/schedule-competition
2026-05-21,15:30:00,Karate,Men’s Kumite -75 kg,كوميتيه رجال -75 كجم,Qualification,Men,Aspire Dome,,COM-2026-0146,https://gccgames.qa/frontend/schedule-competition
2026-05-21,16:10:00,Karate,Men’s Kumite -84 kg,كوميتيه رجال -84 كجم,Qualification,Men,Aspire Dome,,COM-2026-0147,https://gccgames.qa/frontend/schedule-competition
2026-05-21,16:50:00,Karate,Men’s Kumite +84 kg,كوميتيه رجال +84 كجم,Qualification,Men,Aspire Dome,,COM-2026-0148,https://gccgames.qa/frontend/schedule-competition
2026-05-21,18:30:00,Karate,Men’s Kumite -60 kg,كوميتيه رجال -60 كجم,Final,Men,Aspire Dome,,COM-2026-0149,https://gccgames.qa/frontend/schedule-competition
2026-05-21,18:35:00,Karate,Men’s Kumite -67 kg,كوميتيه رجال -67 كجم,Final,Men,Aspire Dome,,COM-2026-0150,https://gccgames.qa/frontend/schedule-competition
2026-05-21,18:40:00,Karate,Men’s Kumite -75 kg,كوميتيه رجال -75 كجم,Final,Men,Aspire Dome,,COM-2026-0151,https://gccgames.qa/frontend/schedule-competition
2026-05-21,18:45:00,Karate,Men’s Kumite -84 kg,كوميتيه رجال -84 كجم,Final,Men,Aspire Dome,,COM-2026-0152,https://gccgames.qa/frontend/schedule-competition
2026-05-21,18:50:00,Karate,Men’s Kumite +84 kg,كوميتيه رجال +84 كجم,Final,Men,Aspire Dome,,COM-2026-0153,https://gccgames.qa/frontend/schedule-competition
2026-05-16,10:00:00,Padel,Women’s Preliminary Match,مباراة تمهيدية سيدات,Preliminary,Women,Aspire Dome,,COM-2026-0401,https://gccgames.qa/frontend/schedule-competition
2026-05-16,10:00:00,Padel,Women’s Preliminary Match,مباراة تمهيدية سيدات,Preliminary,Women,Aspire Dome,,COM-2026-0402,https://gccgames.qa/frontend/schedule-competition
2026-05-16,16:00:00,Padel,Men’s Preliminary Match,مباراة تمهيدية رجال,Preliminary,Men,Aspire Dome,,COM-2026-0403,https://gccgames.qa/frontend/schedule-competition
2026-05-16,16:00:00,Padel,Men’s Preliminary Match,مباراة تمهيدية رجال,Preliminary,Men,Aspire Dome,,COM-2026-0404,https://gccgames.qa/frontend/schedule-competition
2026-05-17,10:00:00,Padel,Women’s Preliminary Match,مباراة تمهيدية سيدات,Preliminary,Women,Aspire Dome,,COM-2026-0385,https://gccgames.qa/frontend/schedule-competition
2026-05-17,10:00:00,Padel,Women’s Preliminary Match,مباراة تمهيدية سيدات,Preliminary,Women,Aspire Dome,,COM-2026-0386,https://gccgames.qa/frontend/schedule-competition
2026-05-17,16:00:00,Padel,Men’s Preliminary Match,مباراة تمهيدية رجال,Preliminary,Men,Aspire Dome,,COM-2026-0387,https://gccgames.qa/frontend/schedule-competition
2026-05-17,16:00:00,Padel,Men’s Preliminary Match,مباراة تمهيدية رجال,Preliminary,Men,Aspire Dome,,COM-2026-0388,https://gccgames.qa/frontend/schedule-competition
2026-05-18,10:00:00,Padel,Women’s Preliminary Match,مباراة تمهيدية سيدات,Preliminary,Women,Aspire Dome,,COM-2026-0389,https://gccgames.qa/frontend/schedule-competition
2026-05-18,10:00:00,Padel,Women’s Preliminary Match,مباراة تمهيدية سيدات,Preliminary,Women,Aspire Dome,,COM-2026-0390,https://gccgames.qa/frontend/schedule-competition
2026-05-18,16:00:00,Padel,Men’s Preliminary Match,مباراة تمهيدية رجال,Preliminary,Men,Aspire Dome,,COM-2026-0391,https://gccgames.qa/frontend/schedule-competition
2026-05-18,16:00:00,Padel,Men’s Preliminary Match,مباراة تمهيدية رجال,Preliminary,Men,Aspire Dome,,COM-2026-0392,https://gccgames.qa/frontend/schedule-competition
2026-05-19,10:00:00,Padel,Women’s Preliminary Match,مباراة تمهيدية سيدات,Preliminary,Women,Aspire Dome,,COM-2026-0393,https://gccgames.qa/frontend/schedule-competition
2026-05-19,10:00:00,Padel,Women’s Preliminary Match,مباراة تمهيدية سيدات,Preliminary,Women,Aspire Dome,,COM-2026-0394,https://gccgames.qa/frontend/schedule-competition
2026-05-19,16:00:00,Padel,Men’s Preliminary Match,مباراة تمهيدية رجال,Preliminary,Men,Aspire Dome,,COM-2026-0395,https://gccgames.qa/frontend/schedule-competition
2026-05-19,16:00:00,Padel,Men’s Preliminary Match,مباراة تمهيدية رجال,Preliminary,Men,Aspire Dome,,COM-2026-0396,https://gccgames.qa/frontend/schedule-competition
2026-05-20,10:00:00,Padel,Women’s Preliminary Match,مباراة تمهيدية سيدات,Preliminary,Women,Aspire Dome,,COM-2026-0397,https://gccgames.qa/frontend/schedule-competition
2026-05-20,10:00:00,Padel,Women’s Preliminary Match,مباراة تمهيدية سيدات,Preliminary,Women,Aspire Dome,,COM-2026-0398,https://gccgames.qa/frontend/schedule-competition
2026-05-20,16:00:00,Padel,Men’s Preliminary Match,مباراة تمهيدية رجال,Preliminary,Men,Aspire Dome,,COM-2026-0399,https://gccgames.qa/frontend/schedule-competition
2026-05-20,16:00:00,Padel,Men’s Preliminary Match,مباراة تمهيدية رجال,Preliminary,Men,Aspire Dome,,COM-2026-0400,https://gccgames.qa/frontend/schedule-competition
2026-05-13,8:30:00,Shooting,Shotgun Official Training,التدريب الرسمي للشوزن,Training,Mixed,Lusail Shooting Range,,COM-2026-0444,https://gccgames.qa/frontend/schedule-competition
2026-05-14,8:30:00,Shooting,Men’s Skeet 75 Targets Qualification,سكيت 75 طبق فردي رجال - تمهيدي,Qualification,Men,Lusail Shooting Range,,COM-2026-0445,https://gccgames.qa/frontend/schedule-competition
2026-05-14,8:30:00,Shooting,Women’s Skeet 75 Targets Qualification,سكيت 75 طبق فردي سيدات - تمهيدي,Qualification,Women,Lusail Shooting Range,,COM-2026-0446,https://gccgames.qa/frontend/schedule-competition
2026-05-14,9:30:00,Shooting,10m Air Rifle Official Training,التدريب الرسمي بندقية 10م,Training,Mixed,Lusail Shooting Range,,COM-2026-0456,https://gccgames.qa/frontend/schedule-competition
2026-05-15,9:30:00,Shooting,Men’s 10m Air Rifle Qualification,البندقية 10م هوائي رجال - تصفيات,Qualification,Men,Lusail Shooting Range,,COM-2026-0457,https://gccgames.qa/frontend/schedule-competition
2026-05-15,11:30:00,Shooting,Women’s 10m Air Rifle Qualification,البندقية 10م هوائي سيدات - تصفيات,Qualification,Women,Lusail Shooting Range,,COM-2026-0458,https://gccgames.qa/frontend/schedule-competition
2026-05-15,12:15:00,Shooting,Men’s 10m Air Rifle Final,نهائي البندقية 10م هوائي رجال,Final,Men,Lusail Shooting Range,,COM-2026-0459,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Shooting,Women’s Skeet Final,نهائي سكيت فردي سيدات,Final,Women,Lusail Shooting Range,,COM-2026-0447,https://gccgames.qa/frontend/schedule-competition
2026-05-15,14:15:00,Shooting,Men’s Skeet Final,نهائي سكيت فردي رجال,Final,Men,Lusail Shooting Range,,COM-2026-0448,https://gccgames.qa/frontend/schedule-competition
2026-05-15,14:15:00,Shooting,Women’s 10m Air Rifle Final,نهائي البندقية 10م هوائي سيدات,Final,Women,Lusail Shooting Range,,COM-2026-0460,https://gccgames.qa/frontend/schedule-competition
2026-05-16,9:30:00,Shooting,Mixed 10m Air Rifle Qualification,البندقية 10م هوائي مختلط - تصفيات,Qualification,Mixed,Lusail Shooting Range,,COM-2026-0461,https://gccgames.qa/frontend/schedule-competition
2026-05-16,11:45:00,Shooting,Mixed 10m Air Rifle Final,نهائي البندقية 10م هوائي مختلط,Final,Mixed,Lusail Shooting Range,,COM-2026-0462,https://gccgames.qa/frontend/schedule-competition
2026-05-16,12:45:00,Shooting,Mixed Skeet Team Final,نهائي سكيت فرق مختلط,Final,Mixed,Lusail Shooting Range,,COM-2026-0449,https://gccgames.qa/frontend/schedule-competition
2026-05-17,8:30:00,Shooting,Shotgun Official Training,تدريب رسمي للشوزن,Training,Mixed,Lusail Shooting Range,,COM-2026-0450,https://gccgames.qa/frontend/schedule-competition
2026-05-18,8:30:00,Shooting,Men’s Trap 75 Targets Qualification,تراب 75 طبق فردي رجال - تمهيدي,Qualification,Men,Lusail Shooting Range,,COM-2026-0451,https://gccgames.qa/frontend/schedule-competition
2026-05-18,8:30:00,Shooting,Women’s Trap 75 Targets Qualification,تراب 75 طبق فردي سيدات - تمهيدي,Qualification,Women,Lusail Shooting Range,,COM-2026-0452,https://gccgames.qa/frontend/schedule-competition
2026-05-18,9:30:00,Shooting,10m Air Pistol Official Training,التدريب الرسمي مسدس 10م,Training,Mixed,Lusail Shooting Range,,COM-2026-0463,https://gccgames.qa/frontend/schedule-competition
2026-05-19,9:30:00,Shooting,Men’s 10m Air Pistol Qualification,المسدس 10م هوائي رجال - تصفيات,Qualification,Men,Lusail Shooting Range,,COM-2026-0464,https://gccgames.qa/frontend/schedule-competition
2026-05-19,11:30:00,Shooting,Women’s 10m Air Pistol Qualification,المسدس 10م هوائي سيدات - تصفيات,Qualification,Women,Lusail Shooting Range,,COM-2026-0465,https://gccgames.qa/frontend/schedule-competition
2026-05-19,12:00:00,Shooting,Women’s Trap Final,نهائي تراب فردي سيدات,Final,Women,Lusail Shooting Range,,COM-2026-0453,https://gccgames.qa/frontend/schedule-competition
2026-05-19,12:15:00,Shooting,Men’s 10m Air Pistol Final,نهائي المسدس 10م هوائي رجال,Final,Men,Lusail Shooting Range,,COM-2026-0466,https://gccgames.qa/frontend/schedule-competition
2026-05-19,13:15:00,Shooting,Men’s Trap Final,نهائي تراب فردي رجال,Final,Men,Lusail Shooting Range,,COM-2026-0454,https://gccgames.qa/frontend/schedule-competition
2026-05-19,14:15:00,Shooting,Women’s 10m Air Pistol Final,نهائي المسدس 10م هوائي سيدات,Final,Women,Lusail Shooting Range,,COM-2026-0467,https://gccgames.qa/frontend/schedule-competition
2026-05-20,9:30:00,Shooting,Mixed 10m Air Pistol Qualification,المسدس 10م هوائي مختلط - تصفيات,Qualification,Mixed,Lusail Shooting Range,,COM-2026-0468,https://gccgames.qa/frontend/schedule-competition
2026-05-20,11:45:00,Shooting,Mixed 10m Air Pistol Final,نهائي المسدس 10م هوائي مختلط,Final,Mixed,Lusail Shooting Range,,COM-2026-0469,https://gccgames.qa/frontend/schedule-competition
2026-05-20,12:45:00,Shooting,Mixed Trap Team Final,نهائي تراب فرق مختلط,Final,Mixed,Lusail Shooting Range,,COM-2026-0455,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Snooker,Men’s 6-Red Singles,6 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0241,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Snooker,Men’s 6-Red Singles,6 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0242,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Snooker,Men’s 6-Red Singles,6 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0243,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Snooker,Men’s 6-Red Singles,6 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0244,https://gccgames.qa/frontend/schedule-competition
2026-05-15,15:00:00,Snooker,Men’s 6-Red Singles,6 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0245,https://gccgames.qa/frontend/schedule-competition
2026-05-15,15:00:00,Snooker,Men’s 6-Red Singles,6 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0246,https://gccgames.qa/frontend/schedule-competition
