Date,Time,Sport,Discipline,Phase,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-13,17:00:00,Billiards,Men’s 10-Ball Doubles,,,,,COM-2026-0214,https://gccgames.qa/frontend/schedule-competition
2026-05-13,19:00:00,Billiards,Men’s 10-Ball Doubles,,,,,COM-2026-0215,https://gccgames.qa/frontend/schedule-competition
2026-05-13,19:00:00,Billiards,Men’s 10-Ball Doubles,,,,,COM-2026-0216,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:00:00,Billiards,Men’s 10-Ball Doubles,,,,,COM-2026-0217,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:00:00,Billiards,Men’s 10-Ball Doubles,,,,,COM-2026-0218,https://gccgames.qa/frontend/schedule-competition
2026-05-14,13:00:00,Billiards,Men’s 10-Ball Doubles,,,,,COM-2026-0219,https://gccgames.qa/frontend/schedule-competition
2026-05-14,15:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0220,https://gccgames.qa/frontend/schedule-competition
2026-05-14,15:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0221,https://gccgames.qa/frontend/schedule-competition
2026-05-14,15:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0222,https://gccgames.qa/frontend/schedule-competition
2026-05-14,15:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0223,https://gccgames.qa/frontend/schedule-competition
2026-05-14,16:30:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0224,https://gccgames.qa/frontend/schedule-competition
2026-05-14,16:30:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0225,https://gccgames.qa/frontend/schedule-competition
2026-05-14,16:30:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0226,https://gccgames.qa/frontend/schedule-competition
2026-05-14,16:30:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0227,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0228,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0229,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0230,https://gccgames.qa/frontend/schedule-competition
2026-05-14,18:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0231,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0232,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0233,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0234,https://gccgames.qa/frontend/schedule-competition
2026-05-15,13:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0235,https://gccgames.qa/frontend/schedule-competition
2026-05-15,14:30:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0236,https://gccgames.qa/frontend/schedule-competition
2026-05-15,14:30:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0237,https://gccgames.qa/frontend/schedule-competition
2026-05-15,16:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0238,https://gccgames.qa/frontend/schedule-competition
2026-05-15,16:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0239,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:00:00,Billiards,Men’s 9-Ball Singles,,,,,COM-2026-0240,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,Table Tennis,Women’s Team Qualification,,,,,COM-2026-0288,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,Table Tennis,Women’s Team Qualification,,,,,COM-2026-0289,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,Table Tennis,Women’s Team Qualification,,,,,COM-2026-0290,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,Table Tennis,Men’s Team Qualification,,,,,COM-2026-0291,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,Table Tennis,Men’s Team Qualification,,,,,COM-2026-0292,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,Table Tennis,Men’s Team Qualification,,,,,COM-2026-0293,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:00:00,Table Tennis,Women’s Team Qualification,,,,,COM-2026-0294,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:00:00,Table Tennis,Women’s Team Qualification,,,,,COM-2026-0295,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:00:00,Table Tennis,Women’s Team Qualification,,,,,COM-2026-0296,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:00:00,Table Tennis,Men’s Team Qualification,,,,,COM-2026-0297,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:00:00,Table Tennis,Men’s Team Qualification,,,,,COM-2026-0298,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:00:00,Table Tennis,Men’s Team Qualification,,,,,COM-2026-0299,https://gccgames.qa/frontend/schedule-competition
2026-05-12,19:00:00,Table Tennis,Women’s Team Qualification,,,,,COM-2026-0300,https://gccgames.qa/frontend/schedule-competition
2026-05-12,19:00:00,Table Tennis,Women’s Team Qualification,,,,,COM-2026-0301,https://gccgames.qa/frontend/schedule-competition
2026-05-12,19:00:00,Table Tennis,Women’s Team Qualification,,,,,COM-2026-0302,https://gccgames.qa/frontend/schedule-competition
2026-05-12,19:00:00,Table Tennis,Men’s Team Qualification,,,,,COM-2026-0303,https://gccgames.qa/frontend/schedule-competition
