Date,Time,Time_End,Duration_Min,Sport,Discipline,Discipline_AR,Phase,Status,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-15,18:40:00,20:10:00,90,Athletics,Men’s Long Jump,الوثب الطويل رجال,Final,Official,Men,Qatar Sports Club,"KSA,KUW",COM-2026-0733,https://gccgames.qa/frontend/schedule-competition
2026-05-15,18:45:00,20:21:00,96,Athletics,Men’s 110M Hurdles,110 متر حواجز رجال,Final,Official,Men,Qatar Sports Club,"BRN,KUW,QAT",COM-2026-0734,https://gccgames.qa/frontend/schedule-competition
2026-05-15,19:00:00,20:36:00,96,Athletics,Women’s 400 Metres,400 متر سيدات,Final,Official,Women,Qatar Sports Club,"BRN,OMA",COM-2026-0735,https://gccgames.qa/frontend/schedule-competition
2026-05-15,19:10:00,20:46:00,96,Athletics,Men’s 400 Metres,400 متر رجال,Final,Official,Men,Qatar Sports Club,"OMA,QAT",COM-2026-0736,https://gccgames.qa/frontend/schedule-competition
2026-05-15,19:15:00,20:45:00,90,Athletics,Men’s Javelin Throw,رمي الرمح رجال,Final,Official,Men,Qatar Sports Club,"KSA,KUW,UAE",COM-2026-0737,https://gccgames.qa/frontend/schedule-competition
2026-05-15,19:20:00,20:05:00,45,Athletics,Women’s 800 Metres,800 متر سيدات,Heptathlon,Official,Women,Qatar Sports Club,"KSA,KUW",COM-2026-0738,https://gccgames.qa/frontend/schedule-competition
2026-05-15,19:30:00,20:15:00,45,Athletics,HEPTATHLON WOMEN (Combined),سباعي السيدات (مجمع),Final,Official,Women,Qatar Sports Club,"KSA,KUW",COM-2026-0790,https://gccgames.qa/frontend/schedule-competition
2026-05-15,19:40:00,20:20:00,40,Athletics,Men’s 10000 Metres,سباق 10000 متر رجال,Final,Official,Men,Qatar Sports Club,"BRN,UAE",COM-2026-0792,https://gccgames.qa/frontend/schedule-competition
2026-05-15,20:25:00,21:05:00,40,Athletics,Men’s 4x100 Metres Relay,4×100 متر تتابع رجال,Final,Official,Men,Qatar Sports Club,"OMA,UAE",COM-2026-0739,https://gccgames.qa/frontend/schedule-competition
2026-05-15,20:40:00,21:20:00,40,Athletics,Women’s 4x100 Metres Relay,4×100 متر تتابع سيدات,Final,Official,Women,Qatar Sports Club,"BRN,KSA,OMA,UAE",COM-2026-0740,https://gccgames.qa/frontend/schedule-competition
2026-05-16,8:00:00,08:45:00,45,Athletics,Men’s 100 Metres,100 متر رجال,Decathlon,Scheduled,Men,Qatar Sports Club,"KSA,KUW",COM-2026-0741,https://gccgames.qa/frontend/schedule-competition
2026-05-16,8:30:00,09:15:00,45,Athletics,Men’s Long Jump,الوثب الطويل رجال,Decathlon,Scheduled,Men,Qatar Sports Club,"KSA,KUW",COM-2026-0742,https://gccgames.qa/frontend/schedule-competition
2026-05-16,17:10:00,17:55:00,45,Athletics,Men’s Shot Put,دفع الجلة رجال,Decathlon,Scheduled,Men,Qatar Sports Club,"KSA,KUW",COM-2026-0743,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:30:00,19:15:00,45,Athletics,Men’s High Jump,الوثب العالي رجال,Decathlon,Scheduled,Men,Qatar Sports Club,"KSA,KUW",COM-2026-0744,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:35:00,20:05:00,90,Athletics,Women’s Triple Jump,الوثب الثلاثي سيدات,Final,Scheduled,Women,Qatar Sports Club,"KUW,QAT",COM-2026-0745,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:40:00,20:16:00,96,Athletics,Men’s 400M Hurdles,400 متر حواجز رجال,Final,Scheduled,Men,Qatar Sports Club,"QAT,UAE",COM-2026-0746,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:45:00,20:25:00,100,Athletics,Women’s Hammer Throw,رمي المطرقة سيدات,Final,Scheduled,Women,Qatar Sports Club,"KUW,UAE",COM-2026-0747,https://gccgames.qa/frontend/schedule-competition
2026-05-16,18:55:00,20:31:00,96,Athletics,Women’s 400M Hurdles,400 متر حواجز سيدات,Final,Scheduled,Women,Qatar Sports Club,"BRN,QAT,UAE",COM-2026-0748,https://gccgames.qa/frontend/schedule-competition
2026-05-16,19:10:00,21:10:00,120,Athletics,Men’s 200 Metres,200 متر رجال,Qualifications,Scheduled,Men,Qatar Sports Club,,COM-2026-0749,https://gccgames.qa/frontend/schedule-competition
2026-05-16,19:20:00,20:50:00,90,Athletics,Men’s Triple Jump,الوثب الثلاثي رجال,Final,Scheduled,Men,Qatar Sports Club,"KSA,OMA",COM-2026-0750,https://gccgames.qa/frontend/schedule-competition
2026-05-16,19:30:00,19:50:00,20,Athletics,Women’s 3000M Steeplechase,3000 متر موانع سيدات,Final,Scheduled,Women,Qatar Sports Club,"BRN,KUW,UAE",COM-2026-0751,https://gccgames.qa/frontend/schedule-competition
2026-05-16,19:50:00,20:35:00,45,Athletics,Men’s 400 Metres,400 متر رجال,Decathlon,Scheduled,Men,Qatar Sports Club,"KSA,KUW",COM-2026-0752,https://gccgames.qa/frontend/schedule-competition
2026-05-16,20:10:00,20:50:00,40,Athletics,Mixed 4x400 Metres Relay,4×400 متر تتابع مختلط,Final,Scheduled,Mixed,Qatar Sports Club,"BRN,QAT",COM-2026-0753,https://gccgames.qa/frontend/schedule-competition
2026-05-17,8:00:00,08:45:00,45,Athletics,Men’s 110M Hurdles,110 متر حواجز رجال,Decathlon,Scheduled,Men,Qatar Sports Club,"KSA,KUW",COM-2026-0754,https://gccgames.qa/frontend/schedule-competition
2026-05-17,8:30:00,09:15:00,45,Athletics,Men’s Discus Throw,رمي القرص رجال,Decathlon,Scheduled,Men,Qatar Sports Club,"KSA,KUW",COM-2026-0755,https://gccgames.qa/frontend/schedule-competition
