Type,Event_ID,Sport,Before,After
+ added,COM-2026-0559,Taekwondo,,15:00
+ added,COM-2026-0560,Taekwondo,,15:00
+ added,COM-2026-0561,Taekwondo,,15:30
+ added,COM-2026-0562,Taekwondo,,15:30
+ added,COM-2026-0564,Taekwondo,,15:30
+ added,COM-2026-0565,Taekwondo,,16:45
+ added,COM-2026-0568,Taekwondo,,15:15
+ added,COM-2026-0570,Taekwondo,,15:15
+ added,COM-2026-0572,Taekwondo,,15:45
+ added,COM-2026-0574,Taekwondo,,15:45
+ added,COM-2026-0576,Taekwondo,,17:00
+ added,COM-2026-0578,Taekwondo,,16:00
+ added,COM-2026-0580,Taekwondo,,16:15
+ added,COM-2026-0582,Taekwondo,,16:15
+ added,COM-2026-0584,Taekwondo,,17:15
+ added,COM-2026-0586,Taekwondo,,16:30
+ added,COM-2026-0588,Taekwondo,,17:30
- dropped,COM-2026-0166,Taekwondo,10:00:00,
- dropped,COM-2026-0167,Taekwondo,10:30:00,
- dropped,COM-2026-0168,Taekwondo,11:00:00,
- dropped,COM-2026-0169,Taekwondo,11:30:00,
- dropped,COM-2026-0170,Taekwondo,13:00:00,
- dropped,COM-2026-0171,Taekwondo,13:30:00,
- dropped,COM-2026-0172,Taekwondo,14:00:00,
- dropped,COM-2026-0173,Taekwondo,14:30:00,
- dropped,COM-2026-0174,Taekwondo,15:00:00,
- dropped,COM-2026-0175,Taekwondo,15:30:00,
- dropped,COM-2026-0176,Taekwondo,16:00:00,
- dropped,COM-2026-0177,Taekwondo,16:30:00,
- dropped,COM-2026-0178,Taekwondo,10:00:00,
- dropped,COM-2026-0179,Taekwondo,10:30:00,
- dropped,COM-2026-0180,Taekwondo,11:00:00,
- dropped,COM-2026-0181,Taekwondo,11:30:00,
- dropped,COM-2026-0182,Taekwondo,13:00:00,
- dropped,COM-2026-0183,Taekwondo,13:30:00,
- dropped,COM-2026-0184,Taekwondo,14:00:00,
- dropped,COM-2026-0185,Taekwondo,14:30:00,
- dropped,COM-2026-0186,Taekwondo,15:00:00,
- dropped,COM-2026-0187,Taekwondo,15:30:00,
- dropped,COM-2026-0188,Taekwondo,16:00:00,
- dropped,COM-2026-0189,Taekwondo,16:30:00,
- dropped,COM-2026-0201,Billiards,16:00:00,
~ phase,COM-2026-0494,Swimming,Heats,Event 1
~ phase,COM-2026-0495,Swimming,Heats,Event 2
~ phase,COM-2026-0496,Swimming,Heats,Event 3
~ phase,COM-2026-0497,Swimming,Heats,Event 4
~ phase,COM-2026-0498,Swimming,Heats,Event 5
~ phase,COM-2026-0499,Swimming,Heats,Event 6
~ phase,COM-2026-0500,Swimming,Heats,Event 7
~ phase,COM-2026-0501,Swimming,Heats,Event 8
~ phase,COM-2026-0502,Swimming,Heats,Event 9
~ phase,COM-2026-0503,Swimming,Heats,Event 10
~ phase,COM-2026-0504,Swimming,Heats,Event 11
~ phase,COM-2026-0505,Swimming,Heats,Event 12
~ phase,COM-2026-0506,Swimming,Heats,Event 13
~ phase,COM-2026-0507,Swimming,Heats,Event 14
~ phase,COM-2026-0508,Swimming,Heats,Event 14
~ phase,COM-2026-0509,Swimming,Heats,Event 15
~ phase,COM-2026-0510,Swimming,Heats,Event 16
~ phase,COM-2026-0511,Swimming,Heats,Event 17
~ phase,COM-2026-0512,Swimming,Heats,Event 18
~ phase,COM-2026-0513,Swimming,Heats,Event 19
~ phase,COM-2026-0514,Swimming,Heats,Event 20
~ status,COM-2026-0190,Billiards,Scheduled,Official
~ status,COM-2026-0191,Billiards,Scheduled,Official
