Type,Event_ID,Sport,Before,After
+ added,COM-2026-0818,Snooker,,10:00
+ added,COM-2026-0819,Snooker,,10:00
+ added,COM-2026-0820,Snooker,,10:00
+ added,COM-2026-0821,Snooker,,10:00
+ added,COM-2026-0822,Snooker,,13:00
+ added,COM-2026-0823,Snooker,,13:00
+ added,COM-2026-0824,Snooker,,17:00
+ added,COM-2026-0825,Bowling,,10:00
+ added,COM-2026-0826,Bowling,,14:30
+ added,COM-2026-0827,Bowling,,17:30
+ added,COM-2026-0828,Bowling,,18:00
+ added,COM-2026-0829,Table Tennis,,17:45
+ added,COM-2026-0830,Table Tennis,,17:00
+ added,COM-2026-0831,Table Tennis,,12:15
+ added,COM-2026-0832,Table Tennis,,11:30
+ added,COM-2026-0833,Table Tennis,,11:00
+ added,COM-2026-0834,Shooting,,8:30:
- dropped,COM-2026-0591,Fencing,11:00:00,
- dropped,COM-2026-0592,Fencing,11:00:00,
- dropped,COM-2026-0593,Fencing,11:00:00,
- dropped,COM-2026-0594,Fencing,11:00:00,
- dropped,COM-2026-0595,Fencing,11:00:00,
- dropped,COM-2026-0596,Fencing,11:00:00,
- dropped,COM-2026-0597,Fencing,11:00:00,
- dropped,COM-2026-0598,Fencing,11:00:00,
- dropped,COM-2026-0599,Fencing,11:00:00,
- dropped,COM-2026-0600,Fencing,11:00:00,
- dropped,COM-2026-0601,Fencing,11:00:00,
- dropped,COM-2026-0602,Fencing,11:00:00,
- dropped,COM-2026-0603,Fencing,11:00:00,
- dropped,COM-2026-0604,Fencing,11:00:00,
- dropped,COM-2026-0605,Fencing,11:00:00,
- dropped,COM-2026-0607,Fencing,12:45:00,
- dropped,COM-2026-0608,Fencing,12:45:00,
- dropped,COM-2026-0609,Fencing,12:45:00,
- dropped,COM-2026-0610,Fencing,12:45:00,
- dropped,COM-2026-0611,Fencing,12:45:00,
- dropped,COM-2026-0612,Fencing,12:45:00,
- dropped,COM-2026-0613,Fencing,12:45:00,
- dropped,COM-2026-0614,Fencing,12:45:00,
- dropped,COM-2026-0615,Fencing,12:45:00,
- dropped,COM-2026-0616,Fencing,12:45:00,
- dropped,COM-2026-0617,Fencing,12:45:00,
- dropped,COM-2026-0618,Fencing,12:45:00,
- dropped,COM-2026-0619,Fencing,12:45:00,
- dropped,COM-2026-0620,Fencing,12:45:00,
- dropped,COM-2026-0621,Fencing,12:45:00,
- dropped,COM-2026-0622,Fencing,12:45:00,
- dropped,COM-2026-0623,Fencing,12:45:00,
- dropped,COM-2026-0624,Fencing,12:45:00,
- dropped,COM-2026-0625,Fencing,12:45:00,
- dropped,COM-2026-0626,Fencing,12:45:00,
- dropped,COM-2026-0627,Fencing,12:45:00,
- dropped,COM-2026-0630,Fencing,11:00:00,
- dropped,COM-2026-0631,Fencing,11:00:00,
- dropped,COM-2026-0632,Fencing,11:00:00,
- dropped,COM-2026-0633,Fencing,11:00:00,
- dropped,COM-2026-0634,Fencing,11:00:00,
- dropped,COM-2026-0635,Fencing,11:00:00,
- dropped,COM-2026-0636,Fencing,11:00:00,
- dropped,COM-2026-0637,Fencing,11:00:00,
- dropped,COM-2026-0638,Fencing,11:00:00,
- dropped,COM-2026-0639,Fencing,11:00:00,
- dropped,COM-2026-0640,Fencing,11:00:00,
- dropped,COM-2026-0641,Fencing,11:00:00,
- dropped,COM-2026-0642,Fencing,11:00:00,
- dropped,COM-2026-0643,Fencing,11:00:00,
- dropped,COM-2026-0644,Fencing,11:00:00,
- dropped,COM-2026-0645,Fencing,11:00:00,
- dropped,COM-2026-0646,Fencing,11:00:00,
- dropped,COM-2026-0647,Fencing,11:00:00,
- dropped,COM-2026-0648,Fencing,11:00:00,
- dropped,COM-2026-0649,Fencing,11:00:00,
- dropped,COM-2026-0651,Fencing,11:00:00,
- dropped,COM-2026-0652,Fencing,12:45:00,
- dropped,COM-2026-0653,Fencing,12:45:00,
- dropped,COM-2026-0654,Fencing,12:45:00,
- dropped,COM-2026-0655,Fencing,12:45:00,
- dropped,COM-2026-0656,Fencing,12:45:00,
- dropped,COM-2026-0657,Fencing,12:45:00,
- dropped,COM-2026-0658,Fencing,12:45:00,
- dropped,COM-2026-0659,Fencing,12:45:00,
- dropped,COM-2026-0660,Fencing,12:45:00,
- dropped,COM-2026-0661,Fencing,12:45:00,
- dropped,COM-2026-0662,Fencing,12:45:00,
- dropped,COM-2026-0663,Fencing,12:45:00,
- dropped,COM-2026-0664,Fencing,12:45:00,
- dropped,COM-2026-0665,Fencing,12:45:00,
- dropped,COM-2026-0666,Fencing,12:45:00,
- dropped,COM-2026-0667,Fencing,12:45:00,
- dropped,COM-2026-0668,Fencing,12:45:00,
- dropped,COM-2026-0669,Fencing,12:45:00,
- dropped,COM-2026-0670,Fencing,12:45:00,
- dropped,COM-2026-0671,Fencing,12:45:00,
- dropped,COM-2026-0672,Fencing,12:45:00,
- dropped,COM-2026-0673,Fencing,12:45:00,
- dropped,COM-2026-0691,Fencing,12:45:00,
- dropped,COM-2026-0692,Fencing,12:45:00,
- dropped,COM-2026-0693,Fencing,12:45:00,
- dropped,COM-2026-0694,Fencing,12:45:00,
- dropped,COM-2026-0695,Fencing,12:45:00,
- dropped,COM-2026-0696,Fencing,12:45:00,
- dropped,COM-2026-0697,Fencing,12:45:00,
- dropped,COM-2026-0698,Fencing,12:45:00,
- dropped,COM-2026-0699,Fencing,12:45:00,
- dropped,COM-2026-0700,Fencing,12:45:00,
- dropped,COM-2026-0701,Fencing,12:45:00,
- dropped,COM-2026-0702,Fencing,12:45:00,
- dropped,COM-2026-0703,Fencing,12:45:00,
- dropped,COM-2026-0704,Fencing,12:45:00,
- dropped,COM-2026-0705,Fencing,12:45:00,
- dropped,COM-2026-0706,Fencing,12:45:00,
- dropped,COM-2026-0707,Fencing,12:45:00,
- dropped,COM-2026-0708,Fencing,12:45:00,
- dropped,COM-2026-0709,Fencing,12:45:00,
- dropped,COM-2026-0710,Fencing,12:45:00,
- dropped,COM-2026-0711,Fencing,12:45:00,
~ time,COM-2026-0453,Shooting,12:00:00,8:30:
~ time,COM-2026-0494,Swimming,17:48:00,17:00
~ time,COM-2026-0495,Swimming,17:12:00,17:00
~ time,COM-2026-0496,Swimming,17:36:00,17:00
~ time,COM-2026-0498,Swimming,17:24:00,17:00
~ time,COM-2026-0499,Swimming,17:24:00,17:00
~ time,COM-2026-0500,Swimming,17:48:00,17:00
~ time,COM-2026-0502,Swimming,17:12:00,17:00
~ time,COM-2026-0503,Swimming,17:36:00,17:00
~ time,COM-2026-0504,Swimming,17:36:00,17:00
~ time,COM-2026-0506,Swimming,17:12:00,17:00
~ time,COM-2026-0507,Swimming,17:48:00,17:00
~ time,COM-2026-0508,Swimming,18:00:00,17:00
~ time,COM-2026-0509,Swimming,17:24:00,17:00
~ time,COM-2026-0510,Swimming,17:12:00,17:00
~ time,COM-2026-0511,Swimming,17:48:00,17:00
~ time,COM-2026-0513,Swimming,17:24:00,17:00
~ time,COM-2026-0514,Swimming,17:36:00,17:00
~ phase,COM-2026-0453,Shooting,Final,Qualification
~ phase,COM-2026-0494,Swimming,Heats,Event 1
~ phase,COM-2026-0495,Swimming,Heats,Event 2
~ phase,COM-2026-0496,Swimming,Heats,Event 3
~ phase,COM-2026-0497,Swimming,Heats,Event 4
~ phase,COM-2026-0498,Swimming,Heats,Event 5
~ phase,COM-2026-0499,Swimming,Heats,Event 6
~ phase,COM-2026-0500,Swimming,Heats,Event 7
~ phase,COM-2026-0501,Swimming,Heats,Event 8
~ phase,COM-2026-0502,Swimming,Heats,Event 9
~ phase,COM-2026-0503,Swimming,Heats,Event 10
~ phase,COM-2026-0504,Swimming,Heats,Event 11
~ phase,COM-2026-0505,Swimming,Heats,Event 12
~ phase,COM-2026-0506,Swimming,Heats,Event 13
~ phase,COM-2026-0507,Swimming,Heats,Event 14
~ phase,COM-2026-0508,Swimming,Heats,Event 14
~ phase,COM-2026-0509,Swimming,Heats,Event 15
~ phase,COM-2026-0510,Swimming,Heats,Event 16
~ phase,COM-2026-0511,Swimming,Heats,Event 17
~ phase,COM-2026-0512,Swimming,Heats,Event 18
~ phase,COM-2026-0513,Swimming,Heats,Event 19
~ phase,COM-2026-0514,Swimming,Heats,Event 20
~ phase,COM-2026-0770,Fencing,,Final
~ title,COM-2026-0453,Shooting,Women’s Trap Final,Women’s Trap Qualification
