Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,34,28,26,88
2,KSA,Saudi Arabia,20,15,16,51
3,BRN,Bahrain,16,17,9,42
4,UAE,United Arab Emirates,7,10,18,35
5,OMA,Oman,7,4,11,22
6,KUW,Kuwait,5,13,18,36
