Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Status,Country,Detection_Method,Source_URL
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool B Game,سيدات - مباراة المجموعة B,Pool B,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0471
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0472
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0474
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0478
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool B Game,سيدات - مباراة المجموعة B,Pool B,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0481
Saudi Arabia (Team),Basketball 3x3,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0484
Saudi Arabia (Team),Handball,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Qualification Match 3,كرة اليد رجال - مباراة التصفيات 3,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0517
Saudi Arabia (Team),Handball,2026-05-18,4th GCC Games Doha 2026,GCC Games,,Men’s Qualification Match 6,كرة اليد رجال - مباراة التصفيات 6,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0520
Saudi Arabia (Team),Handball,2026-05-19,4th GCC Games Doha 2026,GCC Games,,Men’s Qualification Match 7,كرة اليد رجال - مباراة التصفيات 7,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0521
Saudi Arabia (Team),Handball,2026-05-22,4th GCC Games Doha 2026,GCC Games,,Men’s Qualification Match 10,كرة اليد رجال - مباراة التصفيات 10,Qualification,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0524
,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 800m Freestyle Heat 1,سباحة 800م حرة بنين - الجولة 1,Event 1,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0494
,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 200m Individual Medley Heat 1,سباحة 200م متنوع بنين - الجولة 1,Event 2,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0495
,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 50m Freestyle Heat 1,سباحة 50م حرة بنين - الجولة 1,Event 3,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0496
,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 100m Backstroke Heat 1,سباحة 100م ظهر بنين - الجولة 1,Event 4,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0497
,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 100m Backstroke Heat 1,سباحة 100م ظهر بنين - الجولة 1,Event 4,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0497
,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 200م Butterfly Heat 1,سباحة 200م فراشة بنين - الجولة 1,Event 5,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0498
,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 200م Butterfly Heat 1,سباحة 200م فراشة بنين - الجولة 1,Event 5,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0498
,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 400m Freestyle Heat 1,سباحة 400م حرة بنين - الجولة 1,Event 6,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0499
,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 400m Freestyle Heat 1,سباحة 400م حرة بنين - الجولة 1,Event 6,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0499
