Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Status,Country,Detection_Method,Source_URL
,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 50m Breaststroke Heat 1,سباحة 50م صدر بنين - الجولة 1,Event 7,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0500
,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 50m Breaststroke Heat 1,سباحة 50م صدر بنين - الجولة 1,Event 7,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0500
,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 100m Freestyle Heat 1,سباحة 100م حرة بنين - الجولة 1,Event 8,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0501
,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 100m Freestyle Heat 1,سباحة 100م حرة بنين - الجولة 1,Event 8,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0501
,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 200m Backstroke Heat 1,سباحة 200م ظهر بنين - الجولة 1,Event 9,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0502
,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 200m Backstroke Heat 1,سباحة 200م ظهر بنين - الجولة 1,Event 9,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0502
Saudi Arabia (Team),Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 400m Freestyle Relay Heat 1,تتابع 400م حرة بنين - الجولة 1,Event 10,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0503
,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 400m Individual Medley Heat 1,سباحة 400م متنوع بنين - الجولة 1,Event 11,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0504
,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 100m Breaststroke Heat 1,سباحة 100م صدر بنين - الجولة 1,Event 12,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0505
,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 100m Breaststroke Heat 1,سباحة 100م صدر بنين - الجولة 1,Event 12,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0505
,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 200m Freestyle Heat 1,سباحة 200م حرة بنين - الجولة 1,Event 13,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0506
,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 200m Freestyle Heat 1,سباحة 200م حرة بنين - الجولة 1,Event 13,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0506
,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 50m Butterfly Heat 2,سباحة 50م فراشة بنين - الجولة 2,Event 14,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0508
,Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 50m Butterfly Heat 2,سباحة 50م فراشة بنين - الجولة 2,Event 14,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0508
Saudi Arabia (Team),Swimming,2026-05-14,4th GCC Games Doha 2026,GCC Games,,Boys 800m Freestyle Relay Heat 1,تتابع 800م حرة بنين - الجولة 1,Event 15,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0509
,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 1500m Freestyle Heat 1,سباحة 1500م حرة بنين - الجولة 1,Event 16,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0510
,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 1500m Freestyle Heat 1,سباحة 1500م حرة بنين - الجولة 1,Event 16,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0510
,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 50m Backstroke Heat 1,سباحة 50م ظهر بنين - الجولة 1,Event 17,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0511
,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 50m Backstroke Heat 1,سباحة 50م ظهر بنين - الجولة 1,Event 17,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0511
,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 100m Butterfly Heat 1,سباحة 100م فراشة بنين - الجولة 1,Event 18,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0512
,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 100m Butterfly Heat 1,سباحة 100م فراشة بنين - الجولة 1,Event 18,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0512
,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 200m Breaststroke Heat 1,سباحة 200م صدر بنين - الجولة 1,Event 19,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0513
,Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 200m Breaststroke Heat 1,سباحة 200م صدر بنين - الجولة 1,Event 19,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0513
Saudi Arabia (Team),Swimming,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Boys 400m Medley Relay Heat 1,تتابع 400م متنوع بنين - الجولة 1,Event 20,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0514
