Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,48,49,36,133
2,KSA,Saudi Arabia,32,27,22,81
3,BRN,Bahrain,24,22,16,62
4,KUW,Kuwait,14,17,29,60
5,UAE,United Arab Emirates,13,19,34,66
6,OMA,Oman,10,4,15,29
