Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,30,26,26,82
2,KSA,Saudi Arabia,20,15,16,51
3,BRN,Bahrain,16,17,8,41
4,OMA,Oman,7,3,10,20
5,UAE,United Arab Emirates,6,9,17,32
6,KUW,Kuwait,4,11,17,32
