Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,44,45,32,121
2,KSA,Saudi Arabia,26,20,19,65
3,BRN,Bahrain,24,22,16,62
4,KUW,Kuwait,11,16,24,51
5,OMA,Oman,10,4,16,30
6,UAE,United Arab Emirates,9,14,25,48
