Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,26,23,22,71
2,KSA,Saudi Arabia,16,14,15,45
3,BRN,Bahrain,13,13,5,31
4,OMA,Oman,6,2,8,16
5,UAE,United Arab Emirates,4,7,13,24
6,KUW,Kuwait,3,7,17,27
