Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,29,25,24,78
2,KSA,Saudi Arabia,18,15,16,49
3,BRN,Bahrain,14,15,6,35
4,OMA,Oman,6,2,10,18
5,KUW,Kuwait,4,8,17,29
6,UAE,United Arab Emirates,4,7,14,25
