Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,3,4,1,8
2,KSA,Saudi Arabia,3,2,1,6
3,BRN,Bahrain,2,3,1,6
4,UAE,United Arab Emirates,1,0,1,2
5,KUW,Kuwait,0,1,4,5
6,OMA,Oman,0,0,2,2
