Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,43,43,32,118
2,KSA,Saudi Arabia,26,20,19,65
3,BRN,Bahrain,23,22,15,60
4,KUW,Kuwait,11,16,24,51
5,OMA,Oman,10,4,14,28
6,UAE,United Arab Emirates,8,13,25,46
