Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,41,38,32,111
2,KSA,Saudi Arabia,25,20,19,64
3,BRN,Bahrain,23,21,13,57
4,OMA,Oman,10,4,12,26
5,KUW,Kuwait,8,15,23,46
6,UAE,United Arab Emirates,7,13,22,42
