Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,9,8,9,26
2,KSA,Saudi Arabia,8,7,4,19
3,BRN,Bahrain,2,5,3,10
4,UAE,United Arab Emirates,2,1,2,5
5,OMA,Oman,1,0,4,5
6,KUW,Kuwait,0,1,7,8
