Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,12,11,8,31
2,KSA,Saudi Arabia,9,8,4,21
3,BRN,Bahrain,3,5,3,11
4,UAE,United Arab Emirates,2,2,7,11
5,OMA,Oman,2,0,5,7
6,KUW,Kuwait,0,2,11,13
