Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,30,26,25,81
2,KSA,Saudi Arabia,20,15,16,51
3,BRN,Bahrain,16,17,8,41
4,OMA,Oman,7,3,10,20
5,UAE,United Arab Emirates,5,9,17,31
6,KUW,Kuwait,4,10,17,31
