Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,37,35,31,103
2,KSA,Saudi Arabia,23,18,18,59
3,BRN,Bahrain,20,19,12,51
4,OMA,Oman,10,4,11,25
5,KUW,Kuwait,7,15,18,40
6,UAE,United Arab Emirates,7,12,22,41
