Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,36,32,28,96
2,KSA,Saudi Arabia,21,16,18,55
3,BRN,Bahrain,18,17,11,46
4,OMA,Oman,8,4,11,23
5,UAE,United Arab Emirates,7,11,21,39
6,KUW,Kuwait,6,14,18,38
