Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,48,50,36,134
2,KSA,Saudi Arabia,32,27,23,82
3,BRN,Bahrain,25,22,16,63
4,KUW,Kuwait,14,17,29,60
5,UAE,United Arab Emirates,13,19,34,66
6,OMA,Oman,10,4,15,29
