Rank,NOC,Country,Gold,Silver,Bronze,Total
1,KSA,Saudi Arabia,7,6,4,17
2,QAT,Qatar,6,8,8,22
3,BRN,Bahrain,2,3,3,8
4,UAE,United Arab Emirates,2,1,2,5
5,OMA,Oman,1,0,4,5
6,KUW,Kuwait,0,1,6,7
