Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,2,1,0,3
2,KSA,Saudi Arabia,1,0,0,1
3,BRN,Bahrain,0,2,1,3
4,KUW,Kuwait,0,0,2,2
5,OMA,Oman,0,0,0,0
6,UAE,United Arab Emirates,0,0,0,0
