Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,44,46,32,122
2,KSA,Saudi Arabia,26,21,19,66
3,BRN,Bahrain,24,22,16,62
4,KUW,Kuwait,12,16,25,53
5,UAE,United Arab Emirates,10,14,27,51
6,OMA,Oman,10,4,15,29
