Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,13,11,8,32
2,KSA,Saudi Arabia,9,8,4,21
3,BRN,Bahrain,3,5,4,12
4,UAE,United Arab Emirates,2,2,8,12
5,OMA,Oman,2,0,5,7
6,KUW,Kuwait,0,3,11,14
