Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,43,42,32,117
2,KSA,Saudi Arabia,26,20,19,65
3,BRN,Bahrain,24,22,14,60
4,KUW,Kuwait,10,16,24,50
5,OMA,Oman,10,4,13,27
6,UAE,United Arab Emirates,7,13,25,45
