Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,10,9,9,28
2,KSA,Saudi Arabia,9,7,4,20
3,BRN,Bahrain,2,5,3,10
4,UAE,United Arab Emirates,2,2,2,6
5,OMA,Oman,1,0,4,5
6,KUW,Kuwait,0,1,8,9
