Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,20,20,13,53
2,KSA,Saudi Arabia,14,11,12,37
3,BRN,Bahrain,8,10,5,23
4,OMA,Oman,6,1,7,14
5,UAE,United Arab Emirates,3,4,14,21
6,KUW,Kuwait,1,6,14,21
