Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,15,13,8,36
2,KSA,Saudi Arabia,9,8,5,22
3,BRN,Bahrain,4,6,3,13
4,UAE,United Arab Emirates,2,2,7,11
5,OMA,Oman,2,0,5,7
6,KUW,Kuwait,0,3,13,16
