Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,32,26,26,84
2,KSA,Saudi Arabia,20,15,16,51
3,BRN,Bahrain,16,17,9,42
4,OMA,Oman,7,4,11,22
5,UAE,United Arab Emirates,6,9,17,32
6,KUW,Kuwait,4,12,17,33
