Rank,NOC,Country,Gold,Silver,Bronze,Total
1,BRN,Bahrain,0,0,0,0
2,KUW,Kuwait,0,0,0,0
3,OMA,Oman,0,0,0,0
4,QAT,Qatar,0,0,0,0
5,KSA,Saudi Arabia,0,0,0,0
6,UAE,United Arab Emirates,0,0,0,0
