Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,40,38,32,110
2,KSA,Saudi Arabia,24,20,19,63
3,BRN,Bahrain,23,20,12,55
4,OMA,Oman,10,4,11,25
5,KUW,Kuwait,8,15,23,46
6,UAE,United Arab Emirates,7,12,22,41
