Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,17,15,9,41
2,KSA,Saudi Arabia,11,9,8,28
3,BRN,Bahrain,6,7,4,17
4,UAE,United Arab Emirates,2,2,11,15
5,OMA,Oman,2,0,5,7
6,KUW,Kuwait,0,4,14,18
