Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,22,20,16,58
2,KSA,Saudi Arabia,14,12,13,39
3,BRN,Bahrain,9,11,5,25
4,OMA,Oman,6,1,7,14
5,UAE,United Arab Emirates,4,4,13,21
6,KUW,Kuwait,1,6,14,21
