Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,38,37,32,107
2,KSA,Saudi Arabia,23,18,18,59
3,BRN,Bahrain,21,20,12,53
4,OMA,Oman,10,4,11,25
5,KUW,Kuwait,8,15,20,43
6,UAE,United Arab Emirates,7,12,22,41
