Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,43,44,32,119
2,KSA,Saudi Arabia,26,20,19,65
3,BRN,Bahrain,24,22,15,61
4,KUW,Kuwait,11,16,24,51
5,OMA,Oman,10,4,15,29
6,UAE,United Arab Emirates,8,13,25,46
