Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,47,49,35,131
2,KSA,Saudi Arabia,30,26,22,78
3,BRN,Bahrain,24,22,16,62
4,UAE,United Arab Emirates,13,19,30,62
5,KUW,Kuwait,13,17,27,57
6,OMA,Oman,10,4,15,29
