Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,46,46,33,125
2,KSA,Saudi Arabia,27,23,20,70
3,BRN,Bahrain,24,22,16,62
4,KUW,Kuwait,12,17,25,54
5,UAE,United Arab Emirates,11,15,29,55
6,OMA,Oman,10,4,15,29
