Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,47,46,35,128
2,KSA,Saudi Arabia,29,26,21,76
3,BRN,Bahrain,24,22,16,62
4,UAE,United Arab Emirates,13,19,29,61
5,KUW,Kuwait,12,17,26,55
6,OMA,Oman,10,4,15,29
