Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Lane_Heat,Reaction_Time,Split_Times,Status,Country,Detection_Method,Source_URL
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game 1,سيدات - مباراة المجموعة A,Pool A,Women,,,15.0,,,,,,Regular Time:15 | Overtime:0,Official,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0470
Oman (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game 1,سيدات - مباراة المجموعة A,Pool A,Women,,,10.0,,,,,,Regular Time:10 | Overtime:0,Official,OMA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0470
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool B Game 1,سيدات - مباراة المجموعة B المباراة 1,Pool B,Women,,,19.0,,,,,,Regular Time:19 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0471
United Arab Emirates (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool B Game 1,سيدات - مباراة المجموعة B المباراة 1,Pool B,Women,,,12.0,,,,,,Regular Time:12 | Overtime:0,Official,UAE,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0471
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game 2,رجال - مباراة المجموعة A المباراة 2,Pool A,Men,,,16.0,,,,,,Regular Time:16 | Overtime:0,Official,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0472
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game 2,رجال - مباراة المجموعة A المباراة 2,Pool A,Men,,,22.0,,,,,,Regular Time:22 | Overtime:0,Official,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0472
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game 1,رجال - مباراة المجموعة A المباراة 1,Pool A,Men,,,22.0,,,,,,Regular Time:22 | Overtime:0,Official,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0473
United Arab Emirates (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game 1,رجال - مباراة المجموعة A المباراة 1,Pool A,Men,,,9.0,,,,,,Regular Time:9 | Overtime:0,Official,UAE,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0473
Bahrain (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0474
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0474
Oman (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,,,,,,,,,,Scheduled,OMA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0475
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,,,,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0475
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,,,,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0476
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,,,,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0476
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0477
Bahrain (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0477
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0478
United Arab Emirates (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,,,,Scheduled,UAE,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0478
