Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,30,25,25,80
2,KSA,Saudi Arabia,20,16,18,54
3,BRN,Bahrain,14,16,6,36
4,OMA,Oman,6,2,10,18
5,KUW,Kuwait,4,9,17,30
6,UAE,United Arab Emirates,4,7,14,25
