Rank,NOC,Country,Gold,Silver,Bronze,Total
1,KSA,Saudi Arabia,5,3,1,9
2,QAT,Qatar,3,5,3,11
3,BRN,Bahrain,2,3,1,6
4,UAE,United Arab Emirates,1,0,1,2
5,KUW,Kuwait,0,0,5,5
6,OMA,Oman,0,0,2,2
