Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Status,Country,Detection_Method,Source_URL
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0470
Oman (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,,,,,,,Scheduled,OMA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0470
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool B Game,سيدات - مباراة المجموعة B,Pool B,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0471
United Arab Emirates (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool B Game,سيدات - مباراة المجموعة B,Pool B,Women,,,,,,,Scheduled,UAE,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0471
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0472
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0472
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0473
United Arab Emirates (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,UAE,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0473
Bahrain (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,BRN,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0474
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Pool A Game,رجال - مباراة المجموعة A,Pool A,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0474
Oman (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,,,,,,,Scheduled,OMA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0475
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0475
Kuwait (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,,,,,,,Scheduled,KUW,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0476
Qatar (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Pool A Game,سيدات - مباراة المجموعة A,Pool A,Women,,,,,,,Scheduled,QAT,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0476
