Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,19,19,12,50
2,KSA,Saudi Arabia,14,10,9,33
3,BRN,Bahrain,7,9,5,21
4,OMA,Oman,4,0,7,11
5,UAE,United Arab Emirates,3,4,14,21
6,KUW,Kuwait,1,6,14,21
