Rank,NOC,Country,Gold,Silver,Bronze,Total
1,QAT,Qatar,39,38,32,109
2,KSA,Saudi Arabia,24,19,18,61
3,BRN,Bahrain,23,20,12,55
4,OMA,Oman,10,4,11,25
5,KUW,Kuwait,8,15,21,44
6,UAE,United Arab Emirates,7,12,22,41
