Athlete_Name_Lower,Original_Name,Age,Gender,ISG_Sports,ISG_Medal_G,ISG_Medal_S,ISG_Medal_B,ISG_Medal_Events
alzahrani jamaan,JAMAAN ALZAHRANI,30,Men,Athletics / Para Athletics,1,0,0,Para Athletics:Para Athletics Men's 100m T53/54(G)
alzaid manal,Manal Alzaid,36,Women,Karate,0,0,0,
alzaqrati zainab,Zainab Alzaqrati,27,Women,Weighlifting,0,0,0,
arish bu yousif,Yousif Bu Arish,25,Men,Swimming,0,0,0,
aroan nawaf,Nawaf Aroan,29,Men,Futsal,0,0,0,
ashour hadeel,Hadeel Ashour,33,Women,Boxing,0,0,0,
bakhashwin saleh,Saleh Bakhashwin,18,Men,E-Sport,1,0,0,E-Sport:E-Sport Rocket League(G)
bakhashwin yazeed,Yazeed Bakhashwin,18,Men,E-Sport,1,0,0,E-Sport:E-Sport Rocket League(G)
bakheet sami,Sami BAKHEET,20,Men,Athletics / Para Athletics,0,0,1,Athletics:Athletics Jump Men's Triple Jump(B)
baowaydhan inad,baowaydhan inad,,,,0,0,1,Muaythai:Men 70-75 kg(B)
baqer jumah,Baqer JUMAH,24,Men,Athletics / Para Athletics,0,0,0,
barnawi hassan,Hassan Barnawi,24,Men,Wrestling,0,0,0,
barnawi raad,Raad Barnawi,30,Men,3x3 Basketball,0,0,0,
bin huraymil mohammed,Mohammed Bin Huraymil,22,Men,Jiu Jitsu,0,1,0,Jiu Jitsu:Men -69 kg(S)
bu osama qursayn,Osama Bu Qursayn,20,Men,Judo,0,0,0,
dunya saber,Dunya Saber,22,Women,Taekwondo,0,0,0,
eihab mohamed,Eihab Mohamed,31,Men,Futsal,0,0,0,
emad zaben,Emad Zaben,20,Men,Swimming,0,0,1,Swimming:Men's 100m Freestyle(B)
fahad rudayni,Fahad Rudayni,26,Men,Futsal,0,0,0,
faisal maghrabi,Faisal MAGHRABI,26,Men,Athletics / Para Athletics,0,0,0,
fallatah ibrahim,Ibrahim Fallatah,25,Men,Wrestling,0,0,0,
